11611.38;12081.23;12097.98;11233.72;902.22;-4.27
10741.21;11682.24;11692.66;10349.65;1.01;-7.49
11145.91;10647.02;11216.76;10631.55;776.55;3.77
10855.03;11118.11;11241.18;10816.54;685.83;-2.61
10267.55;10768.61;11083.49;10015.37;943.09;-5.41
10827.93;10182.27;10850.31;10010.78;1.01;5.46
11127.77;10870.09;11252.16;10633.38;1.07;2.77
10729.4;11215.5;11283.87;10659.19;1.22;-3.58
11285.78;10853.91;11453.64;10822.76;1.04;5.19
11098.35;11299.53;11361.73;11034.48;1.14;-1.66
11106.24;11091.9;11203.67;10395.33;2.87;0.07
11437.14;11112.31;11549.03;11042.76;837.15;2.98
11217.89;11460.05;11616.37;11194.94;968.91;-1.92
11280.29;11266.31;11490.78;11070.61;685.29;0.56
11309.25;11288.15;11399.49;10851.84;402.15;0.26
11125.95;11154.53;11244.64;10749.38;488.04;-1.62
10963.5;11100.55;11244.12;10814.94;503.13;-1.46
10391.16;10975.18;11069.27;10251.33;501.54;-5.22
10854.32;10453.52;10879.52;10424.47;623.96;4.46
11137.79;10888.57;11333.91;10851.92;466.57;2.61
11333.38;11204.85;11473.57;11088.62;471.14;1.76
11438.86;11264.59;11524.36;11064.9;521.8;0.93
11647.14;11486.72;11650.9;11380.1;31.98;1.82
